lga_code,lga_name,dwelling_type,median_weekly_rent,bond_count,population_2021,population_2025,population_growth_pct,rent_year,growth_period
10050,Albury,Flat/Apartment,370,627,56067,59538,6.191,2025,2021-2025
10180,Armidale Regional,Flat/Apartment,350,373,29332,29652,1.091,2025,2021-2025
10250,Ballina,Flat/Apartment,580,254,46196,48603,5.21,2025,2021-2025
10470,Bathurst Regional,Flat/Apartment,400,320,43674,45359,3.858,2025,2021-2025
10500,Bayside (NSW),Flat/Apartment,800,8250,176229,187770,6.549,2025,2021-2025
10550,Bega Valley,Flat/Apartment,450,218,35770,36921,3.218,2025,2021-2025
10600,Bellingen,Flat/Apartment,380,39,13203,13348,1.098,2025,2021-2025
10750,Blacktown,Flat/Apartment,550,2423,399925,449385,12.367,2025,2021-2025
10800,Bland,Flat/Apartment,265,36,5544,5455,-1.605,2025,2021-2025
10900,Blue Mountains,Flat/Apartment,445,154,78372,79236,1.102,2025,2021-2025
11250,Broken Hill,Flat/Apartment,230,61,17662,17515,-0.832,2025,2021-2025
11300,Burwood,Flat/Apartment,750,2225,40440,43927,8.623,2025,2021-2025
11350,Byron,Flat/Apartment,650,264,36106,38784,7.417,2025,2021-2025
11450,Camden,Flat/Apartment,470,244,120083,146483,21.985,2025,2021-2025
11500,Campbelltown (NSW),Flat/Apartment,480,743,177778,191285,7.598,2025,2021-2025
11520,Canada Bay,Flat/Apartment,840,3449,89685,93006,3.703,2025,2021-2025
11570,Canterbury-Bankstown,Flat/Apartment,580,5146,372459,389687,4.625,2025,2021-2025
11650,Central Coast (NSW),Flat/Apartment,520,2233,348493,357816,2.675,2025,2021-2025
11720,Cessnock,Flat/Apartment,450,282,64120,71443,11.421,2025,2021-2025
11730,Clarence Valley,Flat/Apartment,425,342,54212,56874,4.91,2025,2021-2025
11750,Cobar,Flat/Apartment,240,55,4098,4019,-1.928,2025,2021-2025
11800,Coffs Harbour,Flat/Apartment,470,724,78781,82109,4.224,2025,2021-2025
12160,Cootamundra-Gundagai Regional,Flat/Apartment,280,39,11390,11429,0.342,2025,2021-2025
12350,Cowra,Flat/Apartment,260,52,12759,12721,-0.298,2025,2021-2025
12380,Cumberland,Flat/Apartment,630,7167,237083,256906,8.361,2025,2021-2025
12390,Dubbo Regional,Flat/Apartment,370,349,55528,57384,3.342,2025,2021-2025
12730,Edward River,Flat/Apartment,240,93,8437,8501,0.759,2025,2021-2025
12750,Eurobodalla,Flat/Apartment,430,312,40464,41309,2.088,2025,2021-2025
12850,Fairfield,Flat/Apartment,470,912,209066,213677,2.206,2025,2021-2025
12870,Federation,Flat/Apartment,328,76,12822,13247,3.315,2025,2021-2025
12900,Forbes,Flat/Apartment,285,51,9385,9301,-0.895,2025,2021-2025
12930,Georges River,Flat/Apartment,660,3092,152800,163919,7.277,2025,2021-2025
13010,Glen Innes Severn,Flat/Apartment,250,44,8925,9069,1.613,2025,2021-2025
13310,Goulburn Mulwaree,Flat/Apartment,375,101,32150,33746,4.964,2025,2021-2025
13450,Griffith,Flat/Apartment,395,184,27195,27458,0.967,2025,2021-2025
13550,Gunnedah,Flat/Apartment,422,144,13088,13502,3.163,2025,2021-2025
13800,Hawkesbury,Flat/Apartment,460,164,67605,69299,2.506,2025,2021-2025
13910,Hilltops,Flat/Apartment,290,89,19223,19347,0.645,2025,2021-2025
14000,Hornsby,Flat/Apartment,650,1617,152263,155484,2.115,2025,2021-2025
14100,Hunters Hill,Flat/Apartment,630,101,13596,13983,2.846,2025,2021-2025
14170,Inner West,Flat/Apartment,670,7418,183839,193125,5.051,2025,2021-2025
14220,Inverell,Flat/Apartment,310,103,17920,18152,1.295,2025,2021-2025
14300,Junee,Flat/Apartment,300,41,6454,6403,-0.79,2025,2021-2025
14350,Kempsey,Flat/Apartment,360,159,30828,31950,3.64,2025,2021-2025
14400,Kiama,Flat/Apartment,590,143,22970,23139,0.736,2025,2021-2025
14500,Ku-ring-gai,Flat/Apartment,780,1753,124703,128542,3.079,2025,2021-2025
14600,Lachlan,Flat/Apartment,220,32,6153,6118,-0.569,2025,2021-2025
14650,Lake Macquarie,Flat/Apartment,490,693,214054,224540,4.899,2025,2021-2025
14700,Lane Cove,Flat/Apartment,720,1271,39608,43094,8.801,2025,2021-2025
14750,Leeton,Flat/Apartment,340,67,11480,11475,-0.044,2025,2021-2025
14850,Lismore,Flat/Apartment,420,248,44361,43642,-1.621,2025,2021-2025
14870,Lithgow,Flat/Apartment,300,45,20855,20693,-0.777,2025,2021-2025
14900,Liverpool,Flat/Apartment,535,2374,234505,261231,11.397,2025,2021-2025
15050,Maitland,Flat/Apartment,485,461,90612,100439,10.845,2025,2021-2025
15240,Mid-Coast,Flat/Apartment,400,653,96475,99448,3.082,2025,2021-2025
15270,Mid-Western Regional,Flat/Apartment,410,92,25714,26472,2.948,2025,2021-2025
15300,Moree Plains,Flat/Apartment,260,116,12964,12845,-0.918,2025,2021-2025
15350,Mosman,Flat/Apartment,795,923,28466,29374,3.19,2025,2021-2025
15520,Murray River,Flat/Apartment,380,45,12785,14030,9.738,2025,2021-2025
15650,Muswellbrook,Flat/Apartment,350,119,16469,16859,2.368,2025,2021-2025
15700,Nambucca Valley,Flat/Apartment,390,128,20382,21237,4.195,2025,2021-2025
15750,Narrabri,Flat/Apartment,300,120,12808,12797,-0.086,2025,2021-2025
15800,Narrandera,Flat/Apartment,280,35,5733,5761,0.488,2025,2021-2025
15850,Narromine,Flat/Apartment,290,31,6448,6420,-0.434,2025,2021-2025
15900,Newcastle,Flat/Apartment,572,2564,169433,178935,5.608,2025,2021-2025
15950,North Sydney,Flat/Apartment,800,6112,69471,73705,6.095,2025,2021-2025
15990,Northern Beaches,Flat/Apartment,820,5052,264567,272656,3.057,2025,2021-2025
16150,Orange,Flat/Apartment,450,323,43750,44990,2.834,2025,2021-2025
16200,Parkes,Flat/Apartment,290,67,14451,14175,-1.91,2025,2021-2025
16260,Parramatta,Flat/Apartment,700,9039,258527,279014,7.925,2025,2021-2025
16350,Penrith,Flat/Apartment,500,1982,219239,231701,5.684,2025,2021-2025
16380,Port Macquarie-Hastings,Flat/Apartment,460,771,86638,92432,6.688,2025,2021-2025
16400,Port Stephens,Flat/Apartment,495,399,75328,80070,6.295,2025,2021-2025
16490,Queanbeyan-Palerang Regional,Flat/Apartment,420,607,63404,67633,6.67,2025,2021-2025
16550,Randwick,Flat/Apartment,880,8882,135219,146484,8.331,2025,2021-2025
16610,Richmond Valley,Flat/Apartment,392,106,23595,24044,1.903,2025,2021-2025
16700,Ryde,Flat/Apartment,700,5529,129813,141693,9.152,2025,2021-2025
16900,Shellharbour,Flat/Apartment,550,340,76492,83228,8.806,2025,2021-2025
16950,Shoalhaven,Flat/Apartment,420,342,108550,111755,2.953,2025,2021-2025
17000,Singleton,Flat/Apartment,450,109,24725,25841,4.514,2025,2021-2025
17040,Snowy Monaro Regional,Flat/Apartment,460,240,21667,22396,3.365,2025,2021-2025
17080,Snowy Valleys,Flat/Apartment,300,57,14900,15058,1.06,2025,2021-2025
17100,Strathfield,Flat/Apartment,700,2543,45963,49203,7.049,2025,2021-2025
17150,Sutherland Shire,Flat/Apartment,670,3231,230994,241327,4.473,2025,2021-2025
17200,Sydney,Flat/Apartment,865,29489,214703,241797,12.619,2025,2021-2025
17310,Tamworth Regional,Flat/Apartment,350,478,63670,66403,4.292,2025,2021-2025
17350,Temora,Flat/Apartment,340,39,6013,6050,0.615,2025,2021-2025
17420,The Hills Shire,Flat/Apartment,680,2409,192660,222675,15.579,2025,2021-2025
